Time,Intensity
1.38009E-4,1479
4.71405E-4,994
8.04408E-4,1611
0.00114,1608
0.00147,1219
0.0018,1151
0.00214,1143
0.00247,1245
0.0028,1243
0.00314,1346
0.00347,1518
0.0038,1573
0.00414,1393
0.00447,1300
0.0048,1351
0.00514,1193
0.00547,1338
0.0058,1298
0.00614,1755
0.00647,1778
0.0068,1596
0.00714,1468
0.00747,1350
0.0078,1572
0.00814,1739
0.00847,1453
0.0088,1571
0.00914,1535
0.00947,1875
0.0098,2153
0.01014,2126
0.01047,1805
0.0108,1926
0.01114,1897
0.01147,2231
0.0118,2296
0.01214,2076
0.01247,2110
0.0128,1967
0.01314,2034
0.01347,2092
0.0138,2443
0.01414,2639
0.01447,2162
0.0148,2144
0.01514,2098
0.01547,2296
0.0158,2449
0.01614,2725
0.01647,2221
0.0168,2167
0.01714,2341
0.01747,2112
0.0178,2240
0.01814,2828
0.01847,2963
0.0188,2580
0.01914,2689
0.01947,2967
0.0198,4236
0.02014,6186
0.02047,8213
0.0208,9797
0.02114,19022
0.02147,60650
0.0218,112550
0.02214,162307
0.02247,201133
0.0228,225158
0.02314,241390
0.02347,252540
0.0238,260758
0.02414,266243
0.02447,272376
0.0248,277098
0.02514,281271
0.02547,285165
0.0258,288626
0.02614,289580
0.02647,292320
0.0268,295313
0.02714,298197
0.02747,298701
0.0278,301517
0.02814,302408
0.02847,304698
0.0288,305773
0.02914,308003
0.02947,308824
0.0298,310485
0.03014,311776
0.03047,313006
0.0308,314209
0.03114,317495
0.03147,317025
0.0318,317661
0.03214,319322
0.03247,318737
0.0328,320662
0.03314,322056
0.03347,321983
0.0338,321906
0.03414,323174
0.03447,324212
0.0348,324801
0.03514,325999
0.03547,325735
0.0358,326583
0.03614,326897
0.03647,327502
0.0368,327471
0.03714,327870
0.03747,328225
0.0378,328876
0.03814,329094
0.03847,330636
0.0388,331466
0.03914,331139
0.03947,331014
0.0398,332081
0.04014,333065
0.04047,333151
0.0408,332448
0.04114,333568
0.04147,332928
0.0418,333845
0.04214,334788
0.04247,334342
0.0428,334292
0.04314,334420
0.04347,334629
0.0438,334818
0.04414,335301
0.04447,337137
0.0448,336424
0.04514,336171
0.04547,337077
0.0458,336892
0.04614,336977
0.04647,337629
0.0468,337405
0.04714,337866
0.04747,338213
0.0478,338502
