time_s,ordinate_values
-0.79,0
-0.78,0
-0.77,0
-0.76,0
-0.75,0
-0.74,2E-6
-0.73,3E-6
-0.72,5E-6
-0.71,6E-6
-0.7,5E-6
-0.69,4E-6
-0.68,3E-6
-0.67,1E-6
-0.66,1E-6
-0.65,0
-0.64,0
-0.63,-1E-6
-0.62,-2E-6
-0.61,-4E-6
-0.6,-6E-6
-0.59,-6E-6
-0.58,-6E-6
-0.57,-6E-6
-0.56,-5E-6
-0.55,-5E-6
-0.54,-4E-6
-0.53,-4E-6
-0.52,-3E-6
-0.51,-2E-6
-0.5,-1E-6
-0.49,0
-0.48,0
-0.47,1E-6
-0.46,1E-6
-0.45,2E-6
-0.44,2E-6
-0.43,2E-6
-0.42,2E-6
-0.41,2E-6
-0.4,1E-6
-0.39,1E-6
-0.38,0
-0.37,-1E-6
-0.36,-3E-6
-0.35,-6E-6
-0.34,-9E-6
-0.33,-1.3E-5
-0.32,-1.6E-5
-0.31,-1.9E-5
-0.3,-2E-5
-0.29,-2.1E-5
-0.28,-2.1E-5
-0.27,-1.9E-5
-0.26,-1.7E-5
-0.25,-1.5E-5
-0.24,-1.4E-5
-0.23,-1.5E-5
-0.22,-1.7E-5
-0.21,-1.8E-5
-0.2,-2E-5
-0.19,-2E-5
-0.18,-2E-5
-0.17,-1.9E-5
-0.16,-1.8E-5
-0.15,-1.5E-5
-0.14,-1.2E-5
-0.13,-8E-6
-0.12,-4E-6
-0.11,-2E-6
-0.1,-1E-6
-0.09,-2E-6
-0.08,-4E-6
-0.07,-6E-6
-0.06,-7E-6
-0.05,-6E-6
-0.04,-4E-6
-0.03,-2E-6
-0.02,-1E-6
-0.01,-1E-6
0,-2E-6
0.01,-4E-6
0.02,-4E-6
0.03,-4E-6
0.04,-2E-6
0.05,-1E-6
0.06,-1E-6
0.07,-2E-6
0.08,-3E-6
0.09,-4E-6
0.1,-4E-6
0.11,-2E-6
0.12,0
0.13,0
0.14,1E-6
0.15,1E-6
0.16,1E-6
0.17,0
0.18,1E-6
0.19,2E-6
0.2,3E-6
0.21,4E-6
0.22,4E-6
0.23,3E-6
0.24,2E-6
0.25,2E-6
0.26,1E-6
0.27,1E-6
0.28,1E-6
0.29,1E-6
0.3,1E-6
0.31,0
0.32,0
0.33,1E-6
0.34,2E-6
0.35,4E-6
0.36,7E-6
0.37,1E-5
0.38,1.3E-5
0.39,1.5E-5
0.4,1.6E-5
0.41,1.6E-5
0.42,1.7E-5
0.43,1.7E-5
0.44,1.7E-5
0.45,1.8E-5
0.46,1.7E-5
0.47,1.6E-5
0.48,1.5E-5
0.49,1.3E-5
0.5,1.1E-5
0.51,9E-6
0.52,7E-6
0.53,4E-6
0.54,1E-6
0.55,-1E-6
0.56,-3E-6
0.57,-3E-6
0.58,0
0.59,5E-6
0.6,1.1E-5
0.61,1.6E-5
0.62,1.9E-5
0.63,2.1E-5
0.64,2.2E-5
0.65,2.3E-5
0.66,2.5E-5
0.67,2.6E-5
0.68,2.7E-5
0.69,2.7E-5
0.7,2.7E-5
0.71,2.6E-5
0.72,2.6E-5
0.73,2.6E-5
0.74,2.7E-5
0.75,2.8E-5
0.76,2.8E-5
0.77,2.7E-5
0.78,2.4E-5
0.79,2.2E-5
0.8,2E-5
0.81,2E-5
0.82,2E-5
0.83,2.1E-5
0.84,2.1E-5
0.85,2E-5
0.86,1.8E-5
0.87,1.7E-5
0.88,1.7E-5
0.89,1.8E-5
0.9,2.1E-5
0.91,2.4E-5
0.92,2.5E-5
0.93,2.5E-5
0.94,2.3E-5
0.95,2.1E-5
0.96,2E-5
0.97,2.1E-5
0.98,2.2E-5
0.99,2.4E-5
1,2.6E-5
1.01,2.7E-5
1.02,2.7E-5
1.03,2.6E-5
1.04,2.5E-5
1.05,2.5E-5
1.06,2.6E-5
1.07,2.7E-5
1.08,2.9E-5
1.09,3E-5
1.1,3.1E-5
1.11,3.1E-5
1.12,3.1E-5
1.13,3.1E-5
1.14,3.2E-5
1.15,3.4E-5
1.16,3.5E-5
1.17,3.6E-5
1.18,3.5E-5
1.19,3.4E-5
1.2,3.2E-5
1.21,3E-5
1.22,2.8E-5
1.23,2.6E-5
1.24,2.4E-5
1.25,2.2E-5
1.26,2.1E-5
1.27,2E-5
1.28,2E-5
1.29,2.2E-5
1.3,2.5E-5
1.31,2.7E-5
1.32,2.9E-5
1.33,3E-5
1.34,3E-5
1.35,2.9E-5
1.36,2.8E-5
1.37,2.7E-5
1.38,2.7E-5
1.39,2.7E-5
1.4,2.6E-5
