time_s,ordinate_values
-0.79,0
-0.78,0
-0.77,0
-0.76,0
-0.75,0
-0.74,0
-0.73,0
-0.72,0
-0.71,0
-0.7,-1E-6
-0.69,-2E-6
-0.68,-2E-6
-0.67,-2E-6
-0.66,-1E-6
-0.65,-1E-6
-0.64,-2E-6
-0.63,-3E-6
-0.62,-4E-6
-0.61,-6E-6
-0.6,-6E-6
-0.59,-7E-6
-0.58,-7E-6
-0.57,-8E-6
-0.56,-9E-6
-0.55,-1E-5
-0.54,-1E-5
-0.53,-1E-5
-0.52,-9E-6
-0.51,-8E-6
-0.5,-8E-6
-0.49,-9E-6
-0.48,-1.1E-5
-0.47,-1.2E-5
-0.46,-1.4E-5
-0.45,-1.5E-5
-0.44,-1.5E-5
-0.43,-1.5E-5
-0.42,-1.5E-5
-0.41,-1.5E-5
-0.4,-1.4E-5
-0.39,-1.3E-5
-0.38,-1.2E-5
-0.37,-1E-5
-0.36,-9E-6
-0.35,-7E-6
-0.34,-7E-6
-0.33,-6E-6
-0.32,-7E-6
-0.31,-7E-6
-0.3,-8E-6
-0.29,-9E-6
-0.28,-1E-5
-0.27,-1.1E-5
-0.26,-1E-5
-0.25,-8E-6
-0.24,-7E-6
-0.23,-6E-6
-0.22,-7E-6
-0.21,-8E-6
-0.2,-1E-5
-0.19,-1.2E-5
-0.18,-1.2E-5
-0.17,-1.2E-5
-0.16,-1.3E-5
-0.15,-1.4E-5
-0.14,-1.7E-5
-0.13,-2E-5
-0.12,-2.2E-5
-0.11,-2.3E-5
-0.1,-2.2E-5
-0.09,-2.1E-5
-0.08,-1.9E-5
-0.07,-1.8E-5
-0.06,-1.7E-5
-0.05,-1.6E-5
-0.04,-1.4E-5
-0.03,-1.2E-5
-0.02,-9E-6
-0.01,-7E-6
0,-6E-6
0.01,-7E-6
0.02,-8E-6
0.03,-8E-6
0.04,-7E-6
0.05,-5E-6
0.06,-2E-6
0.07,0
0.08,1E-6
0.09,1E-6
0.1,0
0.11,-2E-6
0.12,-3E-6
0.13,-3E-6
0.14,-3E-6
0.15,-2E-6
0.16,-1E-6
0.17,-1E-6
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,-2E-6
0.24,-4E-6
0.25,-7E-6
0.26,-1E-5
0.27,-1.2E-5
0.28,-1.2E-5
0.29,-1.2E-5
0.3,-1.1E-5
0.31,-1E-5
0.32,-8E-6
0.33,-7E-6
0.34,-6E-6
0.35,-5E-6
0.36,-4E-6
0.37,-4E-6
0.38,-5E-6
0.39,-8E-6
0.4,-1.1E-5
0.41,-1.4E-5
0.42,-1.8E-5
0.43,-2.1E-5
0.44,-2.3E-5
0.45,-2.4E-5
0.46,-2.4E-5
0.47,-2.4E-5
0.48,-2.2E-5
0.49,-2E-5
0.5,-1.8E-5
0.51,-1.6E-5
0.52,-1.5E-5
0.53,-1.4E-5
0.54,-1.3E-5
0.55,-1.3E-5
0.56,-1.2E-5
0.57,-1.2E-5
0.58,-1.2E-5
0.59,-1.1E-5
0.6,-1E-5
0.61,-9E-6
0.62,-8E-6
0.63,-6E-6
0.64,-5E-6
0.65,-4E-6
0.66,-4E-6
0.67,-4E-6
0.68,-4E-6
0.69,-4E-6
0.7,-4E-6
0.71,-4E-6
0.72,-5E-6
0.73,-5E-6
0.74,-5E-6
0.75,-5E-6
0.76,-5E-6
0.77,-5E-6
0.78,-5E-6
0.79,-7E-6
0.8,-9E-6
0.81,-1.2E-5
0.82,-1.5E-5
0.83,-1.6E-5
0.84,-1.6E-5
0.85,-1.5E-5
0.86,-1.3E-5
0.87,-1E-5
0.88,-8E-6
0.89,-6E-6
0.9,-4E-6
0.91,-3E-6
0.92,-2E-6
0.93,-2E-6
0.94,-2E-6
0.95,-2E-6
0.96,-2E-6
0.97,-2E-6
0.98,-1E-6
0.99,-1E-6
1,-1E-6
1.01,-1E-6
1.02,-2E-6
1.03,-3E-6
1.04,-4E-6
1.05,-5E-6
1.06,-5E-6
1.07,-4E-6
1.08,-3E-6
1.09,-3E-6
1.1,-3E-6
1.11,-3E-6
1.12,-4E-6
1.13,-4E-6
1.14,-4E-6
1.15,-4E-6
1.16,-4E-6
1.17,-4E-6
1.18,-3E-6
1.19,-2E-6
1.2,-1E-6
1.21,0
1.22,1E-6
1.23,2E-6
1.24,3E-6
1.25,2E-6
1.26,2E-6
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,2E-6
1.33,3E-6
1.34,4E-6
1.35,3E-6
1.36,3E-6
1.37,3E-6
1.38,3E-6
1.39,5E-6
