Alkane,tR_s,width_ms
C9,14.76826,66.9811
C10,18.22827,56.5467
C11,21.02827,52.64638
C12,23.50826,60.99665
C13,25.76826,58.16211
C14,27.88826,57.18192
C15,29.88826,57.44508
C16,31.80827,57.33029
C17,33.66826,59.89546
C18,35.46827,61.66084
C19,37.22826,63.85194
C20,38.90826,63.64181
C21,40.54826,66.4711
C22,42.12826,68.90905
C23,43.66826,71.84972
C24,45.14826,72.69971
C25,46.58826,77.2066
C26,48.02826,81.69948
C27,49.42827,84.76381
C28,50.82826,92.02537
C29,52.20826,98.78326
C30,53.54826,110.65323
