Alkane,tR_s,width_ms
C9,14.68826,77.81262
C10,18.82826,70.17513
C11,22.48829,73.38661
C12,25.80827,83.40647
C13,28.88826,78.60647
C14,31.70826,76.11113
C15,34.36827,73.78401
C16,36.80828,72.71496
C17,39.18827,72.41612
C18,41.46826,75.73119
C19,43.62826,72.91639
C20,45.62826,74.59622
C21,47.62826,75.96808
C22,49.48827,75.98642
C23,51.30826,74.86522
C24,53.00826,78.51037
C25,54.68826,78.21417
C26,56.26825,79.67522
C27,57.78827,81.89061
C28,59.24827,83.69888
C29,60.68826,92.01557
C30,62.06826,101.32162
