Deltat;T;DeltaT;pinj;pdet
0;73.677;38.745;254.96723;226.67878
0.05;73.677;38.745;254.96723;226.67878
0.04;73.8;38.622;254.97526;226.66197
0.05;73.923;38.499;254.98328;226.64518
0.04;73.8;38.622;254.97526;226.66197
0.05;73.8;38.622;254.97526;226.66197
0.05;73.8;38.622;254.97526;226.66197
0.04;73.923;38.499;254.98328;226.64518
0.05;73.923;38.622;254.98328;226.64518
0.05;73.8;38.622;254.97526;226.66197
0.04;73.8;38.499;254.97526;226.66197
0.05;73.923;38.376;254.98328;226.64518
0.05;73.677;38.745;254.96723;226.67878
0.04;73.677;38.745;254.96723;226.67878
0.05;73.554;38.868;254.9592;226.69559
0.04;73.554;38.868;254.9592;226.69559
0.05;73.554;38.868;254.9592;226.69559
0.04;73.677;38.622;254.96723;226.67878
0.05;73.677;38.745;254.96723;226.67878
0.05;73.677;38.622;254.96723;226.67878
0.04;73.8;38.622;254.97526;226.66197
0.05;73.923;38.499;254.98328;226.64518
0.04;73.923;38.499;254.98328;226.64518
0.05;73.923;38.622;254.98328;226.64518
0.05;73.923;38.622;254.98328;226.64518
0.04;73.923;38.622;254.98328;226.64518
0.05;74.046;38.499;254.9913;226.62839
0.04;73.923;38.499;254.98328;226.64518
0.05;73.923;38.499;254.98328;226.64518
0.05;73.923;38.499;254.98328;226.64518
0.04;73.923;38.499;254.98328;226.64518
0.05;73.923;38.499;254.98328;226.64518
0.05;73.677;38.745;254.96723;226.67878
0.04;73.677;38.745;254.96723;226.67878
0.05;73.554;38.868;254.9592;226.69559
0.04;73.554;38.868;254.9592;226.69559
0.05;73.677;38.868;254.96723;226.67878
0.04;73.8;38.622;254.97526;226.66197
0.05;73.677;38.745;254.96723;226.67878
0.05;73.554;38.991;254.9592;226.69559
0.04;73.677;38.868;254.96723;226.67878
0.05;73.8;38.868;254.97526;226.66197
0.05;73.8;38.991;254.97526;226.66197
0.04;73.8;38.868;254.97526;226.66197
0.05;73.8;38.991;254.97526;226.66197
0.04;73.8;39.114;254.97526;226.66197
0.05;73.8;39.114;254.97526;226.66197
0.05;73.8;39.237;254.97526;226.66197
0.04;73.8;39.36;254.97526;226.66197
0.05;73.677;39.606;254.96723;226.67878
0.04;73.677;39.483;254.96723;226.67878
0.05;73.8;39.36;254.97526;226.66197
0.04;73.8;39.606;254.97526;226.66197
0.05;73.923;39.36;254.98328;226.64518
0.05;73.8;39.483;254.97526;226.66197
0.04;73.923;39.36;254.98328;226.64518
0.05;74.046;39.237;254.9913;226.62839
0.05;74.046;39.237;254.9913;226.62839
0.04;73.923;39.36;254.98328;226.64518
0.05;73.923;39.237;254.98328;226.64518
0.04;73.923;39.36;254.98328;226.64518
0.05;73.923;39.36;254.98328;226.64518
0.05;73.923;39.36;254.98328;226.64518
0.04;73.8;39.483;254.97526;226.66197
0.05;73.8;39.483;254.97526;226.66197
0.04;73.677;39.483;254.96723;226.67878
0.05;73.8;39.36;254.97526;226.66197
0.05;73.8;39.483;254.97526;226.66197
0.04;73.677;39.606;254.96723;226.67878
0.05;73.677;39.606;254.96723;226.67878
0.04;73.677;39.606;254.96723;226.67878
0.05;73.8;39.483;254.97526;226.66197
0.04;73.677;39.483;254.96723;226.67878
0.05;73.677;39.483;254.96723;226.67878
0.05;73.677;39.606;254.96723;226.67878
0.04;73.677;39.606;254.96723;226.67878
0.05;73.8;39.483;254.97526;226.66197
0.05;73.677;39.606;254.96723;226.67878
0.04;73.8;39.606;254.97526;226.66197
0.05;73.8;39.729;254.97526;226.66197
0.05;73.8;39.729;254.97526;226.66197
0.04;73.923;39.729;254.98328;226.64518
0.05;73.923;39.606;254.98328;226.64518
