Deltat;T;DeltaT;pinj;pdet
0;49.2;-1.845;253.28055;230.18734
0.05;49.2;-1.599;253.28055;230.18734
0.04;49.2;-1.845;253.28055;230.18734
0.05;49.077;-1.722;253.27161;230.20582
0.04;49.077;-1.845;253.27161;230.20582
0.05;48.954;-1.722;253.26267;230.2243
0.04;48.954;-1.599;253.26267;230.2243
0.05;49.077;-1.722;253.27161;230.20582
0.05;49.077;-1.722;253.27161;230.20582
0.04;49.077;-1.722;253.27161;230.20582
0.05;49.2;-1.599;253.28055;230.18734
0.04;49.323;-1.722;253.28948;230.16887
0.05;49.323;-1.968;253.28948;230.16887
0.04;49.323;-1.968;253.28948;230.16887
0.05;49.2;-1.845;253.28055;230.18734
0.05;49.2;-1.599;253.28055;230.18734
0.04;49.323;-1.722;253.28948;230.16887
0.05;49.569;-2.214;253.30732;230.13196
0.05;49.323;-1.968;253.28948;230.16887
0.04;49.2;-1.599;253.28055;230.18734
0.04;49.2;-1.845;253.28055;230.18734
0.05;49.2;-1.845;253.28055;230.18734
0.05;49.2;-1.845;253.28055;230.18734
0.04;49.2;-1.968;253.28055;230.18734
0.05;49.2;-2.091;253.28055;230.18734
0.05;49.077;-1.722;253.27161;230.20582
0.04;49.323;-2.091;253.28948;230.16887
0.05;49.2;-2.214;253.28055;230.18734
0.04;49.2;-2.091;253.28055;230.18734
0.05;49.077;-1.968;253.27161;230.20582
0.04;49.077;-1.845;253.27161;230.20582
0.05;49.077;-1.845;253.27161;230.20582
0.05;49.077;-1.968;253.27161;230.20582
0.04;49.2;-1.845;253.28055;230.18734
0.05;49.2;-1.968;253.28055;230.18734
0.04;49.2;-2.091;253.28055;230.18734
0.05;49.2;-2.091;253.28055;230.18734
0.05;48.954;-1.845;253.26267;230.2243
0.04;49.077;-2.091;253.27161;230.20582
0.05;49.2;-2.091;253.28055;230.18734
0.04;49.2;-1.968;253.28055;230.18734
0.05;49.323;-1.968;253.28948;230.16887
0.04;49.2;-1.968;253.28055;230.18734
0.05;49.323;-2.214;253.28948;230.16887
0.05;49.2;-1.968;253.28055;230.18734
0.04;49.2;-2.091;253.28055;230.18734
0.05;49.077;-1.968;253.27161;230.20582
0.04;49.077;-1.968;253.27161;230.20582
0.05;49.077;-1.968;253.27161;230.20582
0.04;49.2;-2.091;253.28055;230.18734
0.05;48.954;-1.722;253.26267;230.2243
0.05;49.077;-1.845;253.27161;230.20582
0.04;49.077;-1.845;253.27161;230.20582
0.05;49.2;-2.091;253.28055;230.18734
0.05;49.077;-1.968;253.27161;230.20582
0.04;49.077;-1.968;253.27161;230.20582
0.05;49.2;-2.091;253.28055;230.18734
0.04;49.077;-1.968;253.27161;230.20582
0.05;49.077;-2.091;253.27161;230.20582
0.04;49.077;-1.968;253.27161;230.20582
0.05;49.2;-1.968;253.28055;230.18734
0.05;49.323;-1.968;253.28948;230.16887
0.04;49.323;-1.968;253.28948;230.16887
0.05;49.569;-2.214;253.30732;230.13196
0.04;49.569;-2.214;253.30732;230.13196
0.05;49.692;-2.46;253.31624;230.11352
0.05;49.569;-2.214;253.30732;230.13196
0.04;49.323;-1.968;253.28948;230.16887
0.05;49.569;-2.337;253.30732;230.13196
0.04;49.569;-2.46;253.30732;230.13196
0.05;49.569;-2.46;253.30732;230.13196
0.04;49.692;-2.583;253.31624;230.11352
0.05;49.569;-2.46;253.30732;230.13196
0.05;49.323;-2.337;253.28948;230.16887
0.04;49.077;-2.091;253.27161;230.20582
0.05;49.077;-1.968;253.27161;230.20582
0.05;49.077;-2.091;253.27161;230.20582
0.04;49.077;-2.214;253.27161;230.20582
0.04;49.2;-2.337;253.28055;230.18734
0.05;49.2;-2.46;253.28055;230.18734
0.05;49.2;-2.337;253.28055;230.18734
0.04;49.2;-2.46;253.28055;230.18734
0.05;49.077;-2.214;253.27161;230.20582
0.04;49.077;-2.214;253.27161;230.20582
0.05;49.077;-2.214;253.27161;230.20582
0.05;48.954;-2.091;253.26267;230.2243
0.04;48.954;-2.091;253.26267;230.2243
0.05;48.831;-1.845;253.25372;230.24279
0.04;49.2;-2.214;253.28055;230.18734
0.05;49.2;-1.968;253.28055;230.18734
0.05;49.2;-1.968;253.28055;230.18734
0.04;49.323;-2.091;253.28948;230.16887
0.05;49.2;-2.091;253.28055;230.18734
0.04;49.323;-2.214;253.28948;230.16887
0.05;49.569;-2.46;253.30732;230.13196
0.05;49.323;-2.337;253.28948;230.16887
0.04;49.569;-2.337;253.30732;230.13196
0.04;49.569;-2.214;253.30732;230.13196
