Deltat;T;DeltaT;pinj;pdet
0;49.2;0;253.28851;230.17777
10;49.2;0;253.28851;230.17777
0.02;49.3066;0;253.29627;230.16174
0.05;49.5731;0;253.31565;230.12169
0.05;49.8396;0;253.335;230.08168
0.04;50.0528;0;253.35047;230.0497
0.04;50.266;0;253.36592;230.01774
0.05;50.5325;0;253.38522;229.97784
0.05;50.799;0;253.40449;229.93798
0.04;51.0122;0;253.41989;229.90612
0.05;51.2787;0;253.43913;229.86633
0.04;51.4919;0;253.4545;229.83453
0.05;51.7584;0;253.47369;229.79481
0.05;52.0249;0;253.49286;229.75514
0.04;52.2381;0;253.50818;229.72343
0.05;52.5046;0;253.52731;229.68382
0.04;52.7178;0;253.5426;229.65217
0.05;52.9843;0;253.56169;229.61265
0.04;53.1975;0;253.57694;229.58105
0.05;53.464;0;253.59599;229.5416
0.05;53.7305;0;253.61502;229.50219
0.04;53.9437;0;253.63022;229.47068
0.05;54.2102;0;253.64921;229.43134
0.05;54.4767;0;253.66818;229.39204
0.04;54.6899;0;253.68333;229.36063
0.04;54.9031;0;253.69847;229.32925
0.05;55.1696;0;253.71738;229.29006
0.05;55.4361;0;253.73627;229.2509
0.04;55.6493;0;253.75136;229.21961
0.05;55.9158;0;253.77021;229.18053
0.05;56.1823;0;253.78903;229.14149
0.04;56.3955;0;253.80407;229.11028
0.05;56.662;0;253.82285;229.07132
0.04;56.8752;0;253.83787;229.04017
0.05;57.1417;0;253.85661;229.00128
0.05;57.4082;0;253.87533;228.96242
0.04;57.6214;0;253.89029;228.93137
0.05;57.8879;0;253.90898;228.89259
0.04;58.1011;0;253.92391;228.86159
0.05;58.3676;0;253.94255;228.82288
0.04;58.5808;0;253.95745;228.79194
0.05;58.8473;0;253.97605;228.7533
0.05;59.1138;0;253.99463;228.71471
0.04;59.327;0;254.00948;228.68386
0.05;59.5935;0;254.02802;228.64533
0.05;59.86;0;254.04654;228.60685
0.04;60.0732;0;254.06134;228.57609
0.04;60.2864;0;254.07613;228.54535
0.05;60.5529;0;254.09459;228.50697
0.05;60.8194;0;254.11304;228.46863
0.04;61.0326;0;254.12777;228.43799
0.05;61.2991;0;254.14618;228.39972
0.05;61.5656;0;254.16456;228.36149
0.04;61.7788;0;254.17925;228.33093
0.05;62.0453;0;254.19759;228.29277
0.04;62.2585;0;254.21225;228.26227
0.05;62.525;0;254.23055;228.22419
0.04;62.7382;0;254.24517;228.19375
0.05;63.0047;0;254.26344;228.15573
0.05;63.2712;0;254.28168;228.11776
0.04;63.4844;0;254.29626;228.0874
0.05;63.7509;0;254.31446;228.0495
0.04;63.9641;0;254.32901;228.0192
0.05;64.2306;0;254.34717;227.98137
0.05;64.4971;0;254.36532;227.94358
0.04;64.7103;0;254.37982;227.91337
0.05;64.9768;0;254.39792;227.87565
0.04;65.19;0;254.41239;227.8455
0.05;65.4565;0;254.43045;227.80784
0.04;65.6697;0;254.44489;227.77775
0.05;65.9362;0;254.46292;227.74017
0.05;66.2027;0;254.48092;227.70263
0.04;66.4159;0;254.49531;227.67262
0.05;66.6824;0;254.51328;227.63515
0.05;66.9489;0;254.53123;227.59772
0.04;67.1621;0;254.54557;227.5678
0.05;67.4286;0;254.56348;227.53044
0.04;67.6418;0;254.57779;227.50058
0.05;67.9083;0;254.59566;227.46329
0.04;68.1215;0;254.60994;227.43348
0.05;68.388;0;254.62777;227.39626
0.05;68.6545;0;254.64558;227.35908
0.04;68.8677;0;254.65981;227.32936
0.05;69.1342;0;254.67758;227.29225
0.04;69.3474;0;254.69178;227.26259
0.05;69.6139;0;254.70952;227.22554
0.05;69.8804;0;254.72723;227.18854
0.04;70.0936;0;254.74138;227.15897
0.05;70.3601;0;254.75906;227.12203
0.04;70.5733;0;254.77318;227.09251
0.05;70.8398;0;254.79082;227.05565
0.04;71.053;0;254.80491;227.02619
0.05;71.3195;0;254.82251;226.98939
0.05;71.586;0;254.84009;226.95264
0.04;71.7992;0;254.85414;226.92326
0.05;72.0657;0;254.87168;226.88658
0.05;72.3322;0;254.8892;226.84993
0.04;72.5454;0;254.90319;226.82064
0.05;72.8119;0;254.92068;226.78406
0.04;73.0251;0;254.93465;226.75483
0.05;73.2916;0;254.95209;226.71832
0.04;73.5048;0;254.96603;226.68914
0.05;73.7713;0;254.98343;226.6527
0.05;74.0378;0;255.00082;226.6163
0.04;74.251;0;255.01471;226.5872
0.05;74.5175;0;255.03206;226.55087
0.04;74.7307;0;255.04592;226.52183
0.05;74.9972;0;255.06323;226.48557
0.05;75.2637;0;255.08052;226.44935
0.04;75.4769;0;255.09434;226.42039
0.05;75.7434;0;255.11159;226.38424
0.04;75.9566;0;255.12538;226.35534
0.05;76.2231;0;255.14259;226.31925
0.04;76.4363;0;255.15635;226.29041
0.05;76.7028;0;255.17353;226.25439
0.05;76.9693;0;255.19068;226.21841
0.04;77.1825;0;255.20439;226.18965
0.05;77.449;0;255.22151;226.15374
0.05;77.7155;0;255.23861;226.11786
0.04;77.9287;0;255.25228;226.08919
0.04;78.1419;0;255.26593;226.06054
0.05;78.4084;0;255.28297;226.02477
0.05;78.6749;0;255.3;225.98903
0.04;78.8881;0;255.3136;225.96046
0.05;79.1546;0;255.33059;225.92479
0.05;79.4211;0;255.34756;225.88916
0.04;79.6343;0;255.36112;225.86068
0.05;79.9008;0;255.37805;225.82512
0.04;80.114;0;255.39158;225.79669
0.05;80.3805;0;255.40847;225.76119
0.05;80.647;0;255.42535;225.72574
0.04;80.8602;0;255.43883;225.69739
0.05;81.1267;0;255.45567;225.662
0.04;81.3399;0;255.46912;225.63372
0.05;81.6064;0;255.48592;225.59839
0.04;81.8196;0;255.49935;225.57016
0.05;82.0861;0;255.51611;225.5349
0.05;82.3526;0;255.53286;225.49968
0.04;82.5658;0;255.54624;225.47153
0.05;82.8323;0;255.56294;225.43638
0.05;83.0988;0;255.57963;225.40127
0.04;83.312;0;255.59297;225.3732
0.04;83.5252;0;255.60629;225.34516
0.05;83.7917;0;255.62292;225.31014
0.05;84.0582;0;255.63954;225.27516
0.04;84.2714;0;255.65281;225.2472
0.05;84.5379;0;255.66939;225.21229
0.04;84.7511;0;255.68264;225.18438
0.05;85.0176;0;255.69918;225.14954
0.05;85.2841;0;255.7157;225.11473
0.04;85.4973;0;255.72891;225.0869
0.05;85.7638;0;255.74539;225.05216
0.04;85.977;0;255.75857;225.02439
0.05;86.2435;0;255.77502;224.98972
0.05;86.51;0;255.79145;224.95508
0.04;86.7232;0;255.80458;224.92739
0.05;86.9897;0;255.82097;224.89282
0.04;87.2029;0;255.83407;224.86518
0.05;87.4694;0;255.85043;224.83068
0.05;87.7359;0;255.86677;224.79621
0.04;87.9491;0;255.87982;224.76866
0.04;88.1623;0;255.89286;224.74113
0.05;88.4288;0;255.90915;224.70675
0.05;88.6953;0;255.92542;224.67241
0.04;88.9085;0;255.93842;224.64497
0.05;89.175;0;255.95465;224.6107
0.05;89.4415;0;255.97086;224.57646
0.04;89.6547;0;255.98381;224.5491
0.05;89.9212;0;255.99999;224.51493
0.04;90.1344;0;256.01292;224.48762
0.05;90.4009;0;256.02906;224.45351
0.04;90.6141;0;256.04195;224.42626
0.05;90.8806;0;256.05806;224.39222
0.05;91.1471;0;256.07414;224.35821
0.04;91.3603;0;256.087;224.33104
0.05;91.6268;0;256.10305;224.2971
0.04;91.84;0;256.11587;224.26998
0.05;92.1065;0;256.13189;224.23611
0.05;92.373;0;256.14788;224.20227
0.04;92.5862;0;256.16066;224.17523
0.05;92.8527;0;256.17662;224.14146
0.05;93.1192;0;256.19256;224.10772
0.04;93.3324;0;256.2053;224.08076
0.04;93.5456;0;256.21802;224.05382
0.05;93.8121;0;256.23391;224.02018
0.05;94.0786;0;256.24978;223.98658
0.04;94.2918;0;256.26247;223.95972
0.05;94.5583;0;256.2783;223.92618
0.05;94.8248;0;256.29412;223.89268
0.04;95.038;0;256.30675;223.8659
0.05;95.3045;0;256.32254;223.83246
0.04;95.5177;0;256.33515;223.80573
0.05;95.7842;0;256.35089;223.77236
0.04;95.9974;0;256.36347;223.74569
0.05;96.2639;0;256.37919;223.71238
0.05;96.5304;0;256.39488;223.6791
0.04;96.7436;0;256.40742;223.65251
0.05;97.0101;0;256.42307;223.6193
0.04;97.2233;0;256.43559;223.59276
0.05;97.4898;0;256.45121;223.55961
0.05;97.7563;0;256.46681;223.5265
0.04;97.9695;0;256.47928;223.50004
0.05;98.236;0;256.49485;223.46699
0.04;98.4492;0;256.50729;223.44058
0.05;98.7157;0;256.52282;223.4076
0.04;98.9289;0;256.53524;223.38124
0.05;99.1954;0;256.55074;223.34832
0.05;99.4619;0;256.56622;223.31543
0.04;99.6751;0;256.57859;223.28915
0.05;99.9416;0;256.59404;223.25633
0.04;100.1548;0;256.60638;223.2301
0.05;100.4213;0;256.62179;223.19735
0.04;100.6345;0;256.63411;223.17117
0.05;100.901;0;256.64949;223.13848
0.05;101.1675;0;256.66484;223.10582
0.04;101.3807;0;256.67712;223.07972
0.05;101.6472;0;256.69244;223.04712
0.05;101.9137;0;256.70775;223.01457
0.04;102.1269;0;256.71998;222.98854
0.04;102.3401;0;256.7322;222.96255
0.05;102.6066;0;256.74746;222.93008
0.05;102.8731;0;256.76269;222.89764
0.04;103.0863;0;256.77487;222.87172
0.05;103.3528;0;256.79008;222.83935
0.05;103.6193;0;256.80526;222.80702
0.04;103.8325;0;256.8174;222.78118
0.05;104.099;0;256.83255;222.74891
0.04;104.3122;0;256.84466;222.72311
0.05;104.5787;0;256.85977;222.6909
0.04;104.7919;0;256.87185;222.66516
0.05;105.0584;0;256.88694;222.63302
0.05;105.3249;0;256.902;222.6009
0.04;105.5381;0;256.91404;222.57524
0.05;105.8046;0;256.92908;222.54319
0.04;106.0178;0;256.94109;222.51758
0.05;106.2843;0;256.95609;222.48559
0.05;106.5508;0;256.97107;222.45364
0.04;106.764;0;256.98304;222.4281
0.05;107.0305;0;256.99798;222.39621
0.04;107.2437;0;257.00993;222.37072
0.05;107.5102;0;257.02484;222.33889
0.04;107.7234;0;257.03676;222.31346
0.05;107.9899;0;257.05164;222.28169
0.05;108.2564;0;257.0665;222.24996
0.04;108.4696;0;257.07837;222.2246
0.05;108.7361;0;257.0932;222.19293
0.05;109.0026;0;257.10801;222.16129
0.04;109.2158;0;257.11985;222.13601
0.04;109.429;0;257.13167;222.11075
0.05;109.6955;0;257.14643;222.0792
0.05;109.962;0;257.16118;222.04769
0.04;110.1752;0;257.17296;222.0225
0.05;110.4417;0;257.18767;221.99105
0.05;110.7082;0;257.20236;221.95964
0.04;110.9214;0;257.2141;221.93453
0.05;111.1879;0;257.22876;221.90317
0.04;111.4011;0;257.24048;221.87811
0.05;111.6676;0;257.2551;221.84682
0.04;111.8808;0;257.26679;221.82181
0.05;112.1473;0;257.28138;221.79057
0.05;112.4138;0;257.29596;221.75937
0.04;112.627;0;257.30761;221.73444
0.05;112.8935;0;257.32215;221.7033
0.04;113.1067;0;257.33377;221.67842
0.05;113.3732;0;257.34828;221.64734
0.05;113.6397;0;257.36277;221.61629
0.04;113.8529;0;257.37436;221.59148
0.05;114.1194;0;257.38881;221.5605
0.04;114.3326;0;257.40037;221.53574
0.05;114.5991;0;257.4148;221.50482
0.04;114.8123;0;257.42633;221.4801
0.05;115.0788;0;257.44072;221.44924
0.05;115.3453;0;257.4551;221.41841
