Time,Intensity
1.37989E-4,1962
4.71207E-4,2693
8.04524E-4,1666
0.00114,1865
0.00147,1849
0.0018,1921
0.00214,2560
0.00247,1801
0.0028,1628
0.00314,1881
0.00347,2033
0.0038,2259
0.00414,2195
0.00447,1679
0.0048,1759
0.00514,2046
0.00547,2408
0.0058,2294
0.00614,1761
0.00647,1835
0.0068,1779
0.00714,2671
0.00747,2375
0.0078,1933
0.00814,2081
0.00847,2227
0.0088,23580
0.00914,237018
0.00947,374328
0.0098,428397
0.01014,496219
0.01047,564474
0.0108,620660
0.01114,664372
0.01147,698556
0.0118,725882
0.01214,745896
0.01247,765496
0.0128,780255
0.01314,793760
0.01347,803585
0.0138,810384
0.01414,816582
0.01447,821883
0.0148,825549
0.01514,829438
0.01547,824944
0.0158,810137
0.01614,771485
0.01647,583856
0.0168,433580
0.01714,380162
0.01747,346845
0.0178,329938
0.01814,316413
0.01847,304161
0.0188,293272
0.01914,283185
0.01947,272397
0.0198,263014
0.02014,250861
0.02047,240185
0.0208,230552
0.02114,222439
0.02147,215068
0.0218,208182
0.02214,203424
0.02247,196791
0.0228,191525
0.02314,188663
0.02347,186159
0.0238,183497
0.02414,182238
0.02447,180710
0.0248,180616
0.02514,178414
0.02547,176645
0.0258,174628
0.02614,171953
0.02647,169692
0.0268,162082
0.02714,155931
0.02747,146351
0.0278,137535
0.02814,126963
0.02847,112859
0.0288,102249
0.02914,90006
0.02947,74556
0.0298,61346
0.03014,48027
0.03047,35864
0.0308,26289
0.03114,21403
0.03147,18558
0.0318,16195
0.03214,14689
0.03247,14256
0.0328,14239
0.03314,14314
0.03347,13455
0.0338,12372
0.03414,12791
0.03447,12957
0.0348,12136
0.03514,12353
0.03547,12186
0.0358,12224
0.03614,12622
0.03647,11844
0.0368,12155
0.03714,11365
0.03747,11691
0.0378,11562
0.03814,11330
0.03847,11912
0.0388,11605
0.03914,11450
0.03947,11077
0.0398,10762
0.04014,11491
0.04047,10645
0.0408,10865
0.04114,10449
0.04147,10734
0.0418,11930
0.04214,11373
0.04247,12528
0.0428,12815
0.04314,13384
0.04347,14265
0.0438,15857
0.04414,17631
0.04447,16743
0.0448,17978
0.04514,19925
0.04547,23868
0.0458,25543
0.04614,23504
0.04647,21440
0.0468,17856
0.04714,15641
0.04747,14263
0.0478,12592
0.04814,12004
0.04847,11760
0.0488,10230
0.04914,10810
0.04947,10363
0.0498,9361
0.05014,9369
0.05047,10182
0.0508,10045
0.05114,8704
0.05147,9023
0.0518,9294
0.05214,8777
0.05247,8590
0.0528,9259
0.05314,9674
0.05347,8360
0.0538,8742
0.05414,8838
0.05447,9011
0.0548,8449
0.05514,8321
0.05547,8620
0.0558,9245
0.05614,8998
0.05647,8917
0.0568,9057
0.05714,9419
0.05747,10096
0.0578,10047
0.05814,9522
0.05847,10181
0.0588,9637
0.05914,9972
0.05947,9497
0.0598,8411
0.06014,8929
0.06047,8857
0.0608,9294
0.06114,9016
0.06147,8246
0.0618,9024
0.06214,8100
0.06247,9623
0.0628,8970
0.06314,7766
0.06347,8182
0.0638,7671
0.06414,7992
0.06447,8095
0.0648,8609
0.06514,8736
0.06547,7789
0.0658,7772
0.06614,8232
0.06647,8441
0.0668,8350
0.06714,7747
0.06747,7452
0.0678,7666
0.06814,8006
0.06847,8328
0.0688,7753
0.06914,7717
0.06947,7869
0.0698,7760
0.07014,8118
0.07047,8402
0.0708,8101
0.07114,7765
0.07147,7634
0.0718,7444
0.07214,8337
0.07247,8349
0.0728,7975
0.07314,7484
0.07347,6998
0.0738,7587
0.07414,6987
0.07447,6935
0.0748,6867
0.07514,8353
0.07547,7306
0.0758,7256
0.07614,7157
0.07647,7104
0.0768,7698
0.07714,7164
0.07747,6804
0.0778,6887
0.07814,7079
0.07847,7119
0.0788,6570
0.07914,7225
0.07947,7259
0.0798,7414
0.08014,7923
0.08047,7614
0.0808,7849
0.08114,8528
0.08147,8789
0.0818,9801
0.08214,11809
0.08247,12359
0.0828,14691
0.08314,17163
0.08347,19115
0.0838,21479
0.08414,23434
0.08447,22158
0.0848,21225
0.08514,19033
0.08547,17859
0.0858,16231
0.08614,15140
0.08647,12809
0.0868,11311
0.08714,9588
0.08747,9551
0.0878,9315
0.08814,8677
0.08847,7794
0.0888,7726
0.08914,7211
0.08947,7924
0.0898,7882
0.09014,6739
0.09047,6793
0.0908,6509
0.09114,6587
0.09147,6898
0.0918,7184
0.09214,7347
0.09247,7126
0.0928,6289
0.09314,6324
0.09347,6345
0.0938,6442
0.09414,7030
0.09447,7159
0.0948,6906
0.09514,6242
0.09547,6046
0.0958,6193
0.09614,6058
0.09647,6185
0.0968,6604
0.09714,6957
0.09747,6400
0.0978,6578
0.09814,6119
0.09847,6545
0.0988,6391
0.09914,6845
0.09947,7096
0.0998,6041
0.10014,6432
0.10047,6542
0.1008,5742
0.10114,6880
0.10147,6174
0.1018,5897
0.10214,5518
0.10247,5997
0.1028,6125
0.10314,6450
0.10347,6812
0.1038,6485
0.10414,6148
0.10447,6076
0.1048,5954
0.10514,6227
0.10547,6614
0.1058,5914
0.10614,5633
0.10647,5796
0.1068,5905
0.10714,6645
0.10747,5922
0.1078,5741
0.10814,5948
0.10847,6245
0.1088,6387
0.10914,6268
0.10947,5978
0.1098,5418
0.11014,5558
0.11047,5588
0.1108,5926
0.11114,6277
0.11147,6318
0.1118,5588
0.11214,5862
0.11247,5972
0.1128,6661
0.11314,5759
0.11347,5329
0.1138,5828
0.11414,5388
0.11447,5351
