Time,Intensity
1.37989E-4,1436
4.71338E-4,1852
8.04389E-4,1639
0.00114,1378
0.00147,1316
0.0018,1212
0.00214,1408
0.00247,1699
0.0028,1960
0.00314,1764
0.00347,1494
0.0038,1407
0.00414,1474
0.00447,1842
0.0048,1973
0.00514,1591
0.00547,1448
0.0058,1611
0.00614,1550
0.00647,2313
0.0068,1937
0.00714,1661
0.00747,1619
0.0078,1846
0.00814,2135
0.00847,2168
0.0088,2023
0.00914,1909
0.00947,1845
0.0098,2310
0.01014,2278
0.01047,1913
0.0108,2112
0.01114,1912
0.01147,2163
0.0118,2520
0.01214,2856
0.01247,2539
0.0128,2185
0.01314,2340
0.01347,2308
0.0138,2434
0.01414,2891
0.01447,2918
0.0148,2693
0.01514,2539
0.01547,2525
0.0158,2731
0.01614,2815
0.01647,2438
0.0168,2442
0.01714,2431
0.01747,3013
0.0178,3064
0.01814,2573
0.01847,2805
0.0188,2711
0.01914,2907
0.01947,3537
0.0198,5136
0.02014,6596
0.02047,7542
0.0208,9278
0.02114,25222
0.02147,71173
0.0218,119007
0.02214,161301
0.02247,192443
0.0228,214208
0.02314,229360
0.02347,238197
0.0238,247105
0.02414,253520
0.02447,258656
0.0248,262609
0.02514,266327
0.02547,269232
0.0258,274833
0.02614,277156
0.02647,278099
0.0268,281452
0.02714,283594
0.02747,285674
0.0278,287622
0.02814,287802
0.02847,289887
0.0288,291514
0.02914,294046
0.02947,294492
0.0298,295213
0.03014,297556
0.03047,298412
0.0308,299916
0.03114,301279
0.03147,302696
0.0318,302597
0.03214,304478
0.03247,304294
0.0328,305119
0.03314,306612
0.03347,307326
0.0338,307074
0.03414,309047
0.03447,308806
0.0348,309460
0.03514,311030
0.03547,311254
0.0358,311881
0.03614,312918
0.03647,313042
0.0368,313792
0.03714,314826
0.03747,313992
0.0378,314111
0.03814,315261
0.03847,315338
0.0388,315047
0.03914,315900
0.03947,315703
0.0398,316599
0.04014,317976
0.04047,318192
0.0408,317318
0.04114,317125
0.04147,318006
0.0418,319517
0.04214,319072
0.04247,318852
0.0428,319213
0.04314,320640
0.04347,320276
0.0438,320488
0.04414,320208
0.04447,320097
0.0448,320018
0.04514,321491
0.04547,322164
0.0458,320520
0.04614,320588
0.04647,322063
0.0468,322862
0.04714,321827
0.04747,322560
0.0478,322036
0.04814,322685
0.04847,323311
0.0488,323212
0.04914,323597
0.04947,323337
0.0498,322955
0.05014,322608
0.05047,323293
0.0508,323464
0.05114,324541
0.05147,324874
