Time,Intensity
1.38005E-4,1165
4.71171E-4,1334
8.04373E-4,1689
0.00114,1803
0.00147,1382
0.0018,1190
0.00214,1271
0.00247,1353
0.0028,1938
0.00314,1782
0.00347,1472
0.0038,1437
0.00414,1543
0.00447,1408
0.0048,1362
0.00514,1602
0.00547,1868
0.0058,1922
0.00614,1372
0.00647,1393
0.0068,1450
0.00714,2006
0.00747,1985
0.0078,1899
0.00814,1698
0.00847,1811
0.0088,2117
0.00914,2265
0.00947,1710
0.0098,1846
0.01014,1939
0.01047,2219
0.0108,2368
0.01114,1968
0.01147,2132
0.0118,2145
0.01214,2531
0.01247,2997
0.0128,2436
0.01314,2250
0.01347,2419
0.0138,2277
0.01414,2545
0.01447,2459
0.0148,2733
0.01514,2810
0.01547,2881
0.0158,2629
0.01614,2443
0.01647,2482
0.0168,2361
0.01714,3006
0.01747,2859
0.0178,2567
0.01814,2610
0.01847,2541
0.0188,2886
0.01914,2990
0.01947,2766
0.0198,2727
0.02014,2942
0.02047,3918
0.0208,5830
0.02114,6528
0.02147,7063
0.0218,8156
0.02214,14702
0.02247,47540
0.0228,93108
0.02314,136111
0.02347,173660
0.0238,199549
0.02414,218154
0.02447,230931
0.0248,240290
0.02514,248059
0.02547,254725
0.0258,258977
0.02614,263868
0.02647,268350
0.0268,271623
0.02714,273586
0.02747,277537
0.0278,278857
0.02814,280844
0.02847,285004
0.0288,285294
0.02914,286758
0.02947,288723
0.0298,290404
0.03014,291162
0.03047,293065
0.0308,292855
0.03114,294790
0.03147,297751
0.0318,298140
0.03214,299055
0.03247,300059
0.0328,301762
0.03314,303317
0.03347,303135
0.0338,303709
0.03414,304266
0.03447,306230
0.0348,306733
0.03514,308184
0.03547,308339
0.0358,308391
0.03614,309228
0.03647,310063
0.0368,311389
0.03714,310091
0.03747,312440
0.0378,312391
0.03814,312587
0.03847,313487
0.0388,312707
0.03914,313341
0.03947,314965
0.0398,315233
0.04014,315813
0.04047,316633
0.0408,316323
0.04114,316515
0.04147,316898
0.0418,317157
0.04214,317272
0.04247,317682
0.0428,318516
0.04314,319105
0.04347,319685
0.0438,320540
0.04414,319207
0.04447,320331
0.0448,321028
0.04514,320903
0.04547,321611
0.0458,321006
0.04614,322404
0.04647,321841
0.0468,323038
0.04714,322136
0.04747,322627
0.0478,324388
0.04814,322950
0.04847,323139
0.0488,324412
0.04914,323888
0.04947,324906
0.0498,325100
0.05014,323334
0.05047,324537
0.0508,325220
0.05114,324786
0.05147,324939
0.0518,325794
0.05214,324965
0.05247,325619
0.0528,326737
0.05314,326577
0.05347,326097
0.0538,326219
0.05414,326982
0.05447,326822
0.0548,326061
0.05514,326857
0.05547,327036
0.0558,328149
0.05614,327761
0.05647,326983
0.0568,327875
0.05714,327506
0.05747,328670
0.0578,328103
0.05814,327510
0.05847,328001
0.0588,327244
0.05914,328611
0.05947,328903
0.0598,328701
0.06014,328458
0.06047,328255
0.0608,328884
0.06114,329677
0.06147,328278
0.0618,329518
0.06214,329456
0.06247,329502
0.0628,329933
0.06314,330377
0.06347,329410
0.0638,329405
0.06414,328917
0.06447,330426
0.0648,329635
0.06514,330182
0.06547,330472
0.0658,330220
0.06614,330572
0.06647,328771
0.0668,329478
0.06714,330889
0.06747,330211
0.0678,331164
0.06814,330946
0.06847,331204
0.0688,331257
