Time,Intensity
1.38072E-4,1454
4.71469E-4,1111
8.04504E-4,1399
0.00114,1169
0.00147,1693
0.0018,1126
0.00214,1233
0.00247,1862
0.0028,1200
0.00314,1266
0.00347,1262
0.0038,1229
0.00414,1972
0.00447,1134
0.0048,1774
0.00514,1436
0.00547,1345
0.0058,1602
0.00614,1436
0.00647,1540
0.0068,1895
0.00714,1594
0.00747,2358
0.0078,1468
0.00814,2023
0.00847,1909
0.0088,2419
0.00914,2246
0.00947,1809
0.0098,2282
0.01014,1993
0.01047,2103
0.0108,2877
0.01114,2036
0.01147,2541
0.0118,2505
0.01214,2657
0.01247,2603
0.0128,2366
0.01314,2700
0.01347,2235
0.0138,2896
0.01414,2947
0.01447,2166
0.0148,2938
0.01514,2768
0.01547,3444
0.0158,2823
0.01614,2445
0.01647,3300
0.0168,2518
0.01714,2588
0.01747,3169
0.0178,3723
0.01814,3527
0.01847,3950
0.0188,6316
0.01914,8073
0.01947,8709
0.0198,13294
0.02014,40633
0.02047,93893
0.0208,150368
0.02114,194891
0.02147,226061
0.0218,242328
0.02214,255151
0.02247,262773
0.0228,271583
0.02314,276919
0.02347,281454
0.0238,286128
0.02414,289167
0.02447,291858
0.0248,294450
0.02514,297163
0.02547,299496
0.0258,302322
0.02614,303743
0.02647,305832
0.0268,307180
0.02714,307656
0.02747,309869
0.0278,311695
0.02814,312227
0.02847,314231
0.0288,315459
0.02914,316019
0.02947,317185
0.0298,319125
0.03014,319984
0.03047,320273
0.0308,323020
0.03114,322642
0.03147,323344
0.0318,324776
0.03214,324855
0.03247,325064
0.0328,326339
0.03314,327746
0.03347,327457
0.0338,328487
0.03414,328892
0.03447,328882
0.0348,329730
0.03514,330092
0.03547,329935
0.0358,330424
0.03614,331369
0.03647,331721
0.0368,332666
0.03714,331847
0.03747,333423
0.0378,333564
0.03814,334219
0.03847,334529
0.0388,334837
0.03914,333774
0.03947,334294
0.0398,335026
0.04014,335364
0.04047,334720
0.0408,335905
0.04114,336273
0.04147,336573
0.0418,337359
0.04214,337065
0.04247,337028
0.0428,337843
0.04314,335710
0.04347,337945
0.0438,337154
0.04414,338081
0.04447,337304
0.0448,337841
0.04514,338217
0.04547,337094
0.0458,337765
0.04614,339431
0.04647,338996
0.0468,339890
0.04714,339569
0.04747,338762
0.0478,339852
0.04814,340729
0.04847,339746
0.0488,339329
0.04914,339778
0.04947,339290
0.0498,340798
0.05014,340573
0.05047,340694
0.0508,339591
0.05114,339222
0.05147,339810
0.0518,339911
0.05214,340830
0.05247,339533
0.0528,339586
0.05314,340079
0.05347,339786
0.0538,340661
0.05414,341124
0.05447,340419
0.0548,340716
0.05514,340903
0.05547,342962
0.0558,341167
0.05614,341229
0.05647,341503
0.0568,341833
0.05714,341923
0.05747,341233
0.0578,342566
0.05814,342775
0.05847,341862
0.0588,342558
0.05914,342413
0.05947,342145
0.0598,342038
0.06014,342939
0.06047,342617
0.0608,341989
0.06114,343944
0.06147,343648
0.0618,344059
0.06214,344168
0.06247,342846
0.0628,343243
0.06314,343972
0.06347,345313
0.0638,344563
0.06414,344192
0.06447,344065
0.0648,344127
0.06514,344549
0.06547,345907
0.0658,344222
0.06614,345363
0.06647,345222
0.0668,344692
0.06714,346395
0.06747,346796
0.0678,344883
0.06814,345067
0.06847,346480
0.0688,345320
0.06914,345052
0.06947,345135
0.0698,345717
0.07014,345276
0.07047,345782
0.0708,345835
0.07114,346096
0.07147,345990
0.0718,346530
0.07214,347533
0.07247,346167
0.0728,346554
0.07314,347012
0.07347,347353
0.0738,347128
0.07414,347470
0.07447,347584
0.0748,348370
0.07514,347347
0.07547,348379
0.0758,347248
0.07614,347355
0.07647,347501
0.0768,347457
0.07714,347966
0.07747,348885
0.0778,347649
0.07814,347918
0.07847,348393
0.0788,348005
0.07914,348994
0.07947,349372
0.0798,349053
0.08014,349540
0.08047,349749
0.0808,349932
0.08114,350612
0.08147,350204
0.0818,349315
0.08214,349298
0.08247,350088
0.0828,350088
0.08314,349834
0.08347,350539
0.0838,350101
0.08414,350378
0.08447,350564
0.0848,349408
0.08514,349104
0.08547,349438
0.0858,349540
0.08614,349832
0.08647,349909
0.0868,351121
0.08714,350866
0.08747,350070
0.0878,350898
0.08814,350496
0.08847,351019
0.0888,352399
0.08914,350839
0.08947,349397
0.0898,348007
0.09014,346159
0.09047,344062
0.0908,327721
0.09114,360677
0.09147,641118
0.0918,542160
0.09214,269334
0.09247,93407
0.0928,37546
0.09314,24896
0.09347,21028
0.0938,18819
0.09414,18173
0.09447,16679
0.0948,16499
0.09514,14683
0.09547,14336
0.0958,15128
0.09614,14119
0.09647,14764
0.0968,14078
0.09714,13184
0.09747,13416
0.0978,13057
0.09814,12170
0.09847,13624
0.0988,13498
0.09914,12677
0.09947,11838
0.0998,12651
0.10014,11942
0.10047,12409
0.1008,13620
0.10114,16110
0.10147,25097
0.1018,40424
0.10214,50874
0.10247,50403
0.1028,38308
0.10314,25644
0.10347,16572
0.1038,12865
0.10414,12345
0.10447,11817
0.1048,15089
0.10514,21673
0.10547,27245
0.1058,29535
0.10614,25672
0.10647,19200
0.1068,13628
0.10714,11274
0.10747,9722
0.1078,9867
0.10814,10327
0.10847,9437
0.1088,9005
0.10914,9172
0.10947,8792
0.1098,9420
0.11014,9497
0.11047,9961
0.1108,9795
0.11114,9351
0.11147,9489
0.1118,9874
0.11214,9680
0.11247,10751
0.1128,9792
0.11314,10242
0.11347,9886
0.1138,9725
0.11414,9817
0.11447,8547
0.1148,8182
0.11514,8016
0.11547,8030
0.1158,7824
0.11614,8262
0.11647,8299
0.1168,8760
0.11714,8238
0.11747,7900
0.1178,8146
0.11814,7888
0.11847,7802
0.1188,8315
0.11914,8569
0.11947,8568
0.1198,8390
0.12014,8058
0.12047,8135
0.1208,8051
0.12114,8166
0.12147,7526
0.1218,7618
0.12214,7346
0.12247,8180
0.1228,8143
0.12314,7990
0.12347,7307
0.1238,7815
0.12414,7797
0.12447,8017
0.1248,8085
0.12514,7308
0.12547,7354
0.1258,7276
0.12614,7082
0.12647,8117
0.1268,7641
0.12714,6906
0.12747,7227
0.1278,6964
0.12814,7870
0.12847,7721
0.1288,6887
0.12914,6912
0.12947,6789
0.1298,6596
0.13014,6959
0.13047,7266
0.1308,8069
0.13114,7718
0.13147,7566
0.1318,7456
0.13214,7625
0.13247,8592
0.1328,9402
0.13314,10370
0.13347,12449
0.1338,12314
0.13414,11558
0.13447,11595
0.1348,10398
0.13514,10018
0.13547,9366
0.1358,8776
0.13614,8202
0.13647,8352
0.1368,7764
0.13714,6936
0.13747,6742
0.1378,6630
0.13814,7138
0.13847,7448
0.1388,6932
0.13914,6812
0.13947,6657
0.1398,7802
0.14014,6840
0.14047,6367
0.1408,6276
0.14114,6202
0.14147,7295
0.1418,6902
0.14214,6400
0.14247,6626
0.1428,6372
0.14314,6722
0.14347,7472
0.1438,6628
0.14414,6056
0.14447,6426
0.1448,6035
0.14514,6114
0.14547,6506
0.1458,7084
0.14614,6212
0.14647,6422
0.1468,6267
0.14714,6712
0.14747,6975
0.1478,7196
0.14814,7613
0.14847,6790
0.1488,7001
0.14914,6977
0.14947,6439
0.1498,6650
0.15014,6057
0.15047,6584
0.1508,7179
0.15114,6499
0.15147,6642
0.1518,7102
0.15214,6075
0.15247,7473
0.1528,7257
0.15314,6398
0.15347,6170
0.1538,6067
0.15414,6233
0.15447,6563
0.1548,6596
0.15514,6672
0.15547,7295
0.1558,8011
0.15614,8375
0.15647,9538
0.1568,10653
0.15714,12143
0.15747,15368
0.1578,16634
0.15814,18660
0.15847,19350
0.1588,21217
0.15914,21204
0.15947,21358
0.1598,19748
0.16014,18523
0.16047,15967
0.1608,14721
0.16114,12649
0.16147,11108
0.1618,10327
0.16214,8919
0.16247,8687
0.1628,8429
0.16314,7693
0.16347,7349
0.1638,6502
0.16414,7153
0.16447,6786
0.1648,6877
0.16514,7151
0.16547,5978
0.1658,6967
0.16614,6255
0.16647,6696
0.1668,6404
0.16714,5779
0.16747,5832
0.1678,5473
0.16814,5658
0.16847,5336
0.1688,6195
0.16914,6370
0.16947,5847
0.1698,5501
0.17014,5627
0.17047,5455
0.1708,5624
0.17114,5807
0.17147,6211
0.1718,6539
0.17214,6413
0.17247,6232
0.1728,5442
0.17314,5973
0.17347,6077
0.1738,6391
0.17414,7502
0.17447,7149
0.1748,6230
0.17514,6446
0.17547,6032
0.1758,6355
0.17614,6367
0.17647,6595
0.1768,6239
0.17714,6002
0.17747,5675
0.1778,5580
0.17814,5736
0.17847,6492
0.1788,5824
0.17914,5679
0.17947,5373
0.1798,5607
0.18014,6223
0.18047,5863
0.1808,5253
0.18114,5237
0.18147,5692
0.1818,5325
0.18214,5641
0.18247,5670
0.1828,5526
0.18314,5128
0.18347,5616
0.1838,5869
0.18414,6165
0.18447,5541
0.1848,5509
0.18514,5213
0.18547,5375
0.1858,5784
0.18614,6091
0.18647,5059
0.1868,5382
0.18714,4807
0.18747,5391
0.1878,5538
0.18814,5111
0.18847,5218
0.1888,5826
0.18914,5792
0.18947,5350
0.1898,5140
0.19014,5337
0.19047,5551
0.1908,4926
0.19114,5744
0.19147,5780
0.1918,5312
0.19214,4986
0.19247,5171
0.1928,5152
0.19314,5126
0.19347,5131
0.1938,5434
0.19414,6284
0.19447,5973
0.1948,5303
0.19514,5275
0.19547,4956
0.1958,5199
0.19614,5526
0.19647,5105
0.1968,4911
0.19714,4855
0.19747,5326
0.1978,5997
0.19814,5317
0.19847,5021
0.1988,4774
0.19914,5018
0.19947,5815
0.1998,5787
0.20014,5528
0.20047,5162
0.2008,5088
0.20114,5146
0.20147,5328
0.2018,5148
0.20214,4908
0.20247,5310
0.2028,4698
0.20314,5524
0.20347,6058
0.2038,5135
0.20414,4904
0.20447,5401
0.2048,4940
0.20514,5444
0.20547,5968
0.2058,5308
0.20614,5026
0.20647,5139
0.2068,5453
0.20714,4729
0.20747,4962
0.2078,5172
0.20814,5438
0.20847,5715
0.2088,5290
0.20914,4783
0.20947,4963
0.2098,5107
0.21014,5318
0.21047,5867
0.2108,5202
0.21114,5058
0.21147,4944
0.2118,5175
0.21214,5469
0.21247,5267
0.2128,5033
0.21314,5026
0.21347,4957
0.21381,5206
0.21414,4955
0.21447,4742
0.2148,5500
0.21514,4977
0.21547,5432
0.2158,5395
0.21614,4897
0.21647,5030
0.2168,5239
0.21714,6089
0.21747,4998
0.2178,4797
0.21814,4802
0.21847,4920
0.2188,5942
