time_s,ordinate_values
-0.79,0
-0.78,0
-0.77,0
-0.76,0
-0.75,0
-0.74,2E-6
-0.73,3E-6
-0.72,5E-6
-0.71,6E-6
-0.7,7E-6
-0.69,8E-6
-0.68,9E-6
-0.67,9E-6
-0.66,1E-5
-0.65,9E-6
-0.64,7E-6
-0.63,4E-6
-0.62,1E-6
-0.61,0
-0.6,-2E-6
-0.59,-2E-6
-0.58,-2E-6
-0.57,-1E-6
-0.56,-1E-6
-0.55,-2E-6
-0.54,-3E-6
-0.53,-4E-6
-0.52,-4E-6
-0.51,-4E-6
-0.5,-4E-6
-0.49,-3E-6
-0.48,-2E-6
-0.47,0
-0.46,2E-6
-0.45,5E-6
-0.44,8E-6
-0.43,1E-5
-0.42,1E-5
-0.41,9E-6
-0.4,6E-6
-0.39,5E-6
-0.38,5E-6
-0.37,6E-6
-0.36,9E-6
-0.35,1.1E-5
-0.34,1.1E-5
-0.33,9E-6
-0.32,6E-6
-0.31,2E-6
-0.3,-1E-6
-0.29,-4E-6
-0.28,-6E-6
-0.27,-7E-6
-0.26,-7E-6
-0.25,-7E-6
-0.24,-6E-6
-0.23,-4E-6
-0.22,-2E-6
-0.21,0
-0.2,1E-6
-0.19,2E-6
-0.18,3E-6
-0.17,5E-6
-0.16,7E-6
-0.15,9E-6
-0.14,1E-5
-0.13,9E-6
-0.12,8E-6
-0.11,6E-6
-0.1,5E-6
-0.09,5E-6
-0.08,6E-6
-0.07,8E-6
-0.06,8E-6
-0.05,7E-6
-0.04,4E-6
-0.03,1E-6
-0.02,-1E-6
-0.01,-3E-6
0,-3E-6
0.01,-3E-6
0.02,-3E-6
0.03,-3E-6
0.04,-3E-6
0.05,-2E-6
0.06,0
0.07,3E-6
0.08,6E-6
0.09,8E-6
0.1,8E-6
0.11,7E-6
0.12,6E-6
0.13,5E-6
0.14,6E-6
0.15,8E-6
0.16,1.1E-5
0.17,1.2E-5
0.18,1.3E-5
0.19,1.3E-5
0.2,1.2E-5
0.21,1.2E-5
0.22,1.3E-5
0.23,1.4E-5
0.24,1.5E-5
0.25,1.6E-5
0.26,1.6E-5
0.27,1.6E-5
0.28,1.5E-5
0.29,1.4E-5
0.3,1.2E-5
0.31,1E-5
0.32,6E-6
0.33,2E-6
0.34,0
0.35,-2E-6
0.36,-2E-6
0.37,-2E-6
0.38,0
0.39,1E-6
0.4,2E-6
0.41,2E-6
0.42,2E-6
0.43,1E-6
0.44,0
0.45,0
0.46,0
0.47,0
0.48,2E-6
0.49,4E-6
0.5,6E-6
0.51,9E-6
0.52,1.1E-5
0.53,1.3E-5
0.54,1.5E-5
0.55,1.6E-5
0.56,1.8E-5
0.57,1.9E-5
0.58,1.9E-5
0.59,2E-5
0.6,2E-5
0.61,2.1E-5
0.62,2E-5
0.63,1.9E-5
0.64,1.6E-5
0.65,1.3E-5
0.66,1.2E-5
0.67,1.2E-5
0.68,1.4E-5
0.69,1.7E-5
0.7,2E-5
0.71,2E-5
0.72,1.9E-5
0.73,1.7E-5
0.74,1.6E-5
0.75,1.7E-5
0.76,2E-5
0.77,2.3E-5
0.78,2.6E-5
0.79,2.7E-5
0.8,2.7E-5
0.81,2.6E-5
0.82,2.5E-5
0.83,2.6E-5
0.84,2.7E-5
0.85,2.9E-5
0.86,2.9E-5
0.87,2.7E-5
0.88,2.4E-5
0.89,2.1E-5
0.9,1.8E-5
0.91,1.7E-5
0.92,1.6E-5
0.93,1.5E-5
0.94,1.3E-5
0.95,1.1E-5
0.96,8E-6
0.97,6E-6
0.98,5E-6
0.99,6E-6
1,8E-6
1.01,9E-6
1.02,9E-6
1.03,6E-6
1.04,3E-6
1.05,0
1.06,-2E-6
1.07,-2E-6
1.08,-1E-6
1.09,0
1.1,2E-6
1.11,3E-6
1.12,4E-6
1.13,4E-6
1.14,4E-6
1.15,4E-6
1.16,4E-6
1.17,4E-6
1.18,4E-6
1.19,3E-6
1.2,1E-6
1.21,0
1.22,0
1.23,1E-6
1.24,2E-6
1.25,3E-6
1.26,3E-6
1.27,2E-6
1.28,0
1.29,0
1.3,0
1.31,0
1.32,2E-6
1.33,3E-6
1.34,4E-6
1.35,4E-6
1.36,3E-6
1.37,1E-6
1.38,0
1.39,0
1.4,0
1.41,1E-6
1.42,1E-6
1.43,2E-6
1.44,2E-6
1.45,1E-6
1.46,1E-6
1.47,2E-6
1.48,3E-6
1.49,5E-6
1.5,6E-6
1.51,8E-6
1.52,1E-5
1.53,1.1E-5
1.54,1.2E-5
1.55,1.3E-5
1.56,1.3E-5
