Alkane,tR_s,width_ms
C9,14.28826,65.77225
C10,17.60826,51.87581
C11,20.26828,51.48701
C12,22.62826,54.18588
C13,24.78827,52.70573
C14,26.82826,53.62792
C15,28.78826,54.90994
C16,30.68827,57.24995
C17,32.52827,58.29681
C18,34.32827,61.80282
C19,36.04826,64.89287
C20,37.72826,66.96916
C21,39.34827,69.93256
C22,40.92827,73.07439
C23,42.44826,75.48759
C24,43.94826,77.72776
C25,45.38827,81.89887
C26,46.78827,86.41173
C27,48.14826,91.82927
C28,49.50826,97.38627
C29,50.80827,102.87715
C30,52.12829,118.26864
