Deltat;T;DeltaT;pinj;pdet
0;49.2;10.086;253.28055;230.18734
0.05;49.323;9.963;253.28948;230.16887
0.05;49.323;9.963;253.28948;230.16887
0.04;49.569;9.717;253.30732;230.13196
0.05;49.446;9.84;253.2984;230.15041
0.05;49.446;9.84;253.2984;230.15041
0.04;49.2;9.963;253.28055;230.18734
0.04;49.2;9.963;253.28055;230.18734
0.05;49.077;9.963;253.27161;230.20582
0.05;48.954;10.086;253.26267;230.2243
0.04;49.077;9.84;253.27161;230.20582
0.05;49.077;9.963;253.27161;230.20582
0.05;49.077;10.209;253.27161;230.20582
0.04;49.2;10.209;253.28055;230.18734
0.05;49.2;10.209;253.28055;230.18734
0.04;49.077;10.209;253.27161;230.20582
0.05;49.077;10.209;253.27161;230.20582
0.04;49.077;10.209;253.27161;230.20582
0.05;49.323;9.963;253.28948;230.16887
0.04;49.323;9.963;253.28948;230.16887
0.05;49.323;10.086;253.28948;230.16887
0.05;49.2;10.332;253.28055;230.18734
0.04;49.323;10.086;253.28948;230.16887
0.05;49.077;10.209;253.27161;230.20582
0.05;49.077;10.086;253.27161;230.20582
0.04;49.2;10.086;253.28055;230.18734
0.05;49.323;9.963;253.28948;230.16887
0.04;49.2;9.84;253.28055;230.18734
0.05;49.077;9.963;253.27161;230.20582
0.04;49.077;10.086;253.27161;230.20582
0.05;48.954;10.086;253.26267;230.2243
0.05;48.954;10.086;253.26267;230.2243
0.04;49.077;10.086;253.27161;230.20582
0.05;49.2;9.963;253.28055;230.18734
0.04;49.323;10.086;253.28948;230.16887
0.05;49.569;9.963;253.30732;230.13196
0.05;49.569;10.086;253.30732;230.13196
0.04;49.323;10.209;253.28948;230.16887
0.05;49.323;10.086;253.28948;230.16887
0.04;49.323;10.086;253.28948;230.16887
0.05;49.323;10.086;253.28948;230.16887
0.04;49.077;10.209;253.27161;230.20582
0.05;49.2;9.963;253.28055;230.18734
0.05;49.2;10.086;253.28055;230.18734
0.04;49.077;9.963;253.27161;230.20582
0.05;48.954;10.209;253.26267;230.2243
0.05;48.954;10.332;253.26267;230.2243
0.04;49.077;10.209;253.27161;230.20582
0.04;49.077;10.209;253.27161;230.20582
0.05;48.954;10.332;253.26267;230.2243
0.05;49.077;10.332;253.27161;230.20582
0.04;49.323;10.209;253.28948;230.16887
0.05;49.446;10.086;253.2984;230.15041
0.05;49.446;10.086;253.2984;230.15041
0.04;49.446;10.086;253.2984;230.15041
0.05;49.323;10.086;253.28948;230.16887
0.04;49.323;9.963;253.28948;230.16887
0.05;49.323;9.84;253.28948;230.16887
0.04;49.2;9.963;253.28055;230.18734
0.05;49.077;10.086;253.27161;230.20582
0.05;49.077;9.963;253.27161;230.20582
0.04;49.2;9.963;253.28055;230.18734
0.05;49.2;9.963;253.28055;230.18734
0.04;49.2;9.84;253.28055;230.18734
0.05;49.077;9.717;253.27161;230.20582
0.05;48.954;9.963;253.26267;230.2243
0.04;49.077;9.84;253.27161;230.20582
0.05;49.2;9.963;253.28055;230.18734
0.05;49.2;10.086;253.28055;230.18734
0.04;49.2;10.086;253.28055;230.18734
0.04;49.2;10.086;253.28055;230.18734
0.05;49.2;9.963;253.28055;230.18734
0.05;49.2;9.963;253.28055;230.18734
0.04;48.954;10.332;253.26267;230.2243
0.05;49.2;10.086;253.28055;230.18734
0.05;49.077;10.209;253.27161;230.20582
0.04;49.2;10.086;253.28055;230.18734
0.05;49.323;9.963;253.28948;230.16887
0.04;49.323;10.086;253.28948;230.16887
0.05;49.2;10.209;253.28055;230.18734
0.04;49.2;10.332;253.28055;230.18734
0.05;49.2;10.455;253.28055;230.18734
0.05;49.446;10.332;253.2984;230.15041
0.04;49.569;10.086;253.30732;230.13196
0.05;49.692;9.963;253.31624;230.11352
0.04;49.446;9.963;253.2984;230.15041
0.05;49.446;9.84;253.2984;230.15041
0.05;49.323;9.84;253.28948;230.16887
0.04;49.2;9.84;253.28055;230.18734
0.05;49.077;9.963;253.27161;230.20582
0.04;48.954;9.84;253.26267;230.2243
0.05;49.077;9.717;253.27161;230.20582
0.04;49.077;9.717;253.27161;230.20582
0.05;49.077;9.963;253.27161;230.20582
0.05;49.077;10.209;253.27161;230.20582
0.04;49.2;10.086;253.28055;230.18734
